,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
91,"Know Your Worth",Khalid,100080,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
92,Hangover,"Ude Af Kontrol",99999,https://open.spotify.com/track/0HRnmcWxw0Aeu4VtQXg42j
93,"Rum Bum Bum - Hedegaard Remix",NAVID,99949,https://open.spotify.com/track/6vZ9Fgoy6lDqCbYNI67Ewt
94,NAPOLI,Branco,99538,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
95,"Ingenting At Sige (feat. NODE)",Gilli,99116,https://open.spotify.com/track/6WZHm21UPkvcmh5VLjhFZg
96,Fugtig,"Ude Af Kontrol",99109,https://open.spotify.com/track/3k6n8FdhntF9nzQpVn0OFs
97,"Life Is Good (feat. Drake)",Future,98162,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
98,goosebumps,"Travis Scott",97903,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
99,"Op A","Ude Af Kontrol",97171,https://open.spotify.com/track/79JoAfAjEcCtFYyeJCGwkK
100,Dior,"Pop Smoke",96654,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
101,"Unz Unz",Specktors,96388,https://open.spotify.com/track/593Jq3pm0OleC7Mz6STFFk
102,Sjakalina,Tessa,95743,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8
103,"Super Mario",NODE,93758,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P
104,"Glemmer Alting",Faustix,93288,https://open.spotify.com/track/52OdlOXMRYH9hNa1xpRVj1
105,"Sunday Best",Surfaces,93115,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
106,Falling,"Trevor Daniel",93039,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
107,Memories,"Maroon 5",92629,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
108,"Sex On The Beach","Ude Af Kontrol",92259,https://open.spotify.com/track/3yx4uZSBSLgxaGhSqNw4RR
109,Okay,Tessa,91824,https://open.spotify.com/track/4HtQ1OKauyaDx1jIos6Zmv
110,"everything i wanted","Billie Eilish",90985,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
111,Nino,"Michael Williams",90644,https://open.spotify.com/track/219jZRY9zVkrunULslRLvD
112,DANCE,CLMD,89864,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
113,"Some Say",Nea,89019,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
114,"Lose Somebody",Kygo,88807,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
115,"SKRIV TIL MIG (feat. ICEKIID)",TopGunn,88635,https://open.spotify.com/track/2c4lM4r3EAwZIHzaNqJPRm
116,"If the World Was Ending - feat. Julia Michaels","JP Saxe",88375,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
117,Señorita,"Shawn Mendes",87796,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
118,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,87641,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
119,Savnet,Gobs,87436,https://open.spotify.com/track/0TA8nQMsUqgMBK8W9jtJR9
120,"After Party","Don Toliver",86988,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
121,"Finde Tilbage",Citybois,86282,https://open.spotify.com/track/0yoEmC2FYbiH9gB94YWQE6
122,"Culo (feat. Branco)",Gilli,85693,https://open.spotify.com/track/49vQclrdXkZXMJnD0VN3qZ
123,"GO (feat. Juice WRLD)","The Kid LAROI",85575,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
124,"bad guy","Billie Eilish",85537,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
125,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",84191,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
126,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",84128,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
127,"SICKO MODE","Travis Scott",83906,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
128,ROXANNE,"Arizona Zervas",83535,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
129,"VERDEN VENDER",Branco,83076,https://open.spotify.com/track/1k2HuMmXVnn9X4mGZIwIi4
130,Bando,ANNA,82627,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
131,Bruises,"Lewis Capaldi",82549,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
132,"I Don't Care (with Justin Bieber)","Ed Sheeran",82042,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
133,"Be Alright","Dean Lewis",82017,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
134,"En Sang (feat. Gucci Mane)","Emil Stabil",81189,https://open.spotify.com/track/1hwYGaUz6V4odyt0u0QlKf
135,Kids,FOOL,81169,https://open.spotify.com/track/4SEKNV7Un4sTjaGbG0NOMh
136,"BDK (feat. Gilli)",KESI,80995,https://open.spotify.com/track/6ZvA8Difc7oFBxfZXJ6JuT
137,"Post Malone (feat. RANI)","Sam Feldt",80549,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
138,"All Around The World (La La La)",R3HAB,80497,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
139,"Lose Control",MEDUZA,79941,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
140,"Kender Ham Godt","Young Juu",79548,https://open.spotify.com/track/781hm63hoGyBWLz0eVGmSQ
141,"Efter Mig",Jimilian,78979,https://open.spotify.com/track/5Mbtof5Olmn8JDvm6PI1Az
142,Shallow,"Lady Gaga",78924,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
143,Amsterdam,Fouli,78693,https://open.spotify.com/track/6LDCpaEEwymjW8Fj3l896N
144,Paris,"Lord Siva",77823,https://open.spotify.com/track/1NgeW6kFhdqAvEKgKYhf1s
