,Position,Track Name,Artist,Streams,URL,date,uri_x,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,uri_y
1804,5,Gonzo,Suspekt,352594,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF,2020-03-06,spotify:track:0RcrxkcFT5FJpDgaXmzIEF,2020-02-14,172506,0.748,0.0286,0.524,4.51e-05,0.154,-9.48,0.265,0.305,99.975,4,spotify:track:0RcrxkcFT5FJpDgaXmzIEF
1805,6,Klovne,RH,351751,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf,2020-03-06,spotify:track:6TDGzRZH53BojuIb2XPaYf,2020-02-14,133741,0.861,0.246,0.545,0.000131,0.15,-6.776,0.19,0.629,106.067,4,spotify:track:6TDGzRZH53BojuIb2XPaYf
1806,7,The Box,Roddy Ricch,337359,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-03-06,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,2019-12-06,196652,0.896,0.104,0.586,0.0,0.79,-6.687,0.0559,0.642,116.971,4,spotify:track:0nbXyq5TXYPCO7pr3N8S4I
1807,8,PUB G (feat. Branco & Larry 44),LOLO,330905,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv,2020-03-06,spotify:track:0alp0O9d7KTtAF1QnBqqiv,2019-12-20,159722,0.822,0.318,0.586,0.0,0.113,-6.834,0.112,0.297,118.002,4,spotify:track:0alp0O9d7KTtAF1QnBqqiv
1808,9,Roses - Imanbek Remix,SAINt JHN,316961,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020-03-06,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,2019-10-09,176840,0.77,0.0167,0.724,0.0107,0.353,-5.484,0.0495,0.898,121.975,4,spotify:track:24Yi9hE78yPEbZ4kxyoXAI
1809,10,Don't Start Now,Dua Lipa,284652,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-03-06,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,2019-10-31,183290,0.794,0.0125,0.793,0.0,0.0952,-4.521,0.0842,0.677,123.941,4,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg
1810,11,Say So,Doja Cat,273330,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,2020-03-06,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,2019-11-07,237893,0.787,0.256,0.673,3.57e-06,0.0904,-4.577,0.158,0.786,110.962,4,spotify:track:3Dv1eDb0MEgF93GpLXlucZ
1811,12,Pas Oublié (feat. Gilli),Isaac Kasule,269990,https://open.spotify.com/track/6kyJjIpIjaoBaNx0VjxcwL,2020-03-06,spotify:track:6kyJjIpIjaoBaNx0VjxcwL,2020-02-28,179714,0.745,0.0139,0.557,0.0,0.0819,-5.995,0.0469,0.395,105.034,4,spotify:track:6kyJjIpIjaoBaNx0VjxcwL
1812,13,Dance Monkey,Tones And I,261101,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-03-06,spotify:track:1rgnBhdG2JDFTbYkYRZAku,2019-05-10,209754,0.825,0.688,0.593,0.000161,0.17,-6.401,0.0988,0.54,98.078,4,spotify:track:1rgnBhdG2JDFTbYkYRZAku
1813,14,Corona,ADHD,258931,https://open.spotify.com/track/0frObKN0bCAAFmFMnIdOU1,2020-03-06,spotify:track:0frObKN0bCAAFmFMnIdOU1,2020-02-27,153266,0.793,0.0232,0.76,5.81e-06,0.231,-7.32,0.227,0.394,137.912,4,spotify:track:0frObKN0bCAAFmFMnIdOU1
